exam	section	question_no	correct_answer	subtype	difficulty						
lsat102	1	1	D	Identifying Main Points and Primary Purposes	Level 1						
lsat102	1	2	B	Recognizing Elements of the Passage	Level 1						
lsat102	1	3	A	Analyzing how the Parts Work	Level 2						
lsat102	1	4	D	Author's Attitude	Level 1						
lsat102	1	5	B	Drawing Inferences	Level 2						
lsat102	1	6	C	Applying the Argument to New Contexts	Level 2						
lsat102	1	7	D	Identifying Main Points and Primary Purposes	Level 1						
lsat102	1	8	C	Identifying Main Points and Primary Purposes	Level 2						
lsat102	1	9	B	Recognizing Elements of the Passage	Level 2						
lsat102	1	10	A	Drawing Inferences	Level 2						
lsat102	1	11	C	Analyzing how the Parts Work	Level 2						
lsat102	1	12	D	Recognizing Elements of the Passage	Level 3						
lsat102	1	13	A	Analyzing how the Parts Work	Level 2						
lsat102	1	14	C	Identifying Main Points and Primary Purposes	Level 1						
lsat102	1	15	A	Analyzing how the Parts Work	Level 3						
lsat102	1	16	A	Drawing Inferences	Level 1						
lsat102	1	17	E	Analyzing how the Parts Work	Level 2						
lsat102	1	18	E	Author's Attitude	Level 2						
lsat102	1	19	C	Drawing Inferences	Level 3						
lsat102	1	20	B	Applying the Argument to New Contexts	Level 2						
lsat102	1	21	C	Identifying Main Points and Primary Purposes	Level 2						
lsat102	1	22	D	Identifying Main Points and Primary Purposes	Level 3						
lsat102	1	23	A	Recognizing Elements of the Passage	Level 3						
lsat102	1	24	E	Recognizing Elements of the Passage	Level 3						
lsat102	1	25	B	Drawing Inferences	Level 3						
lsat102	1	26	B	Applying the Argument to New Contexts	Level 4						
lsat102	2	1	A	Conclusions and Disputes	Level 3						
lsat102	2	2	C	Matching Flaws	Level 1						
lsat102	2	3	A	Deductions and Inference	Level 1						
lsat102	2	4	A	Strengthen or Weaken	Level 2						
lsat102	2	5	B	Strengthen or Weaken	Level 1						
lsat102	2	6	C	Assumptions	Level 2						
lsat102	2	7	C	Conclusions and Disputes	Level 2						
lsat102	2	8	A	"Techniques, Roles, and Principles"	Level 3						
lsat102	2	9	E	Flaws	Level 1						
lsat102	2	10	E	Strengthen or Weaken	Level 2						
lsat102	2	11	D	"Techniques, Roles, and Principles"	Level 1						
lsat102	2	12	A	Assumptions	Level 2						
lsat102	2	13	B	Deductions and Inference	Level 4						
lsat102	2	14	A	Explain or Resolve	Level 2						
lsat102	2	15	D	Strengthen or Weaken	Level 2						
lsat102	2	16	E	Assumptions	Level 3						
lsat102	2	17	D	Explain or Resolve	Level 3						
lsat102	2	18	E	Flaws	Level 3						
lsat102	2	19	B	Deductions and Inference	Level 3						
lsat102	2	20	D	Flaws	Level 3						
lsat102	2	21	E	Deductions and Inference	Level 4						
lsat102	2	22	A	Matching Structure and Principles	Level 4						
lsat102	2	23	C	"Techniques, Roles, and Principles"	Level 3						
lsat102	2	24	E	Assumptions	Level 3						
lsat102	2	25	D	"Techniques, Roles, and Principles"	Level 3						
lsat102	3	1	A	Flaws	Level 1						
lsat102	3	2	C	Assumptions	Level 2						
lsat102	3	3	D	Deductions and Inference	Level 1						
lsat102	3	4	D	Strengthen or Weaken	Level 3						
lsat102	3	5	D	Explain or Resolve	Level 3						
lsat102	3	6	B	"Techniques, Roles, and Principles"	Level 2						
lsat102	3	7	B	Flaws	Level 2						
lsat102	3	8	C	"Techniques, Roles, and Principles"	Level 1						
lsat102	3	9	B	Assumptions	Level 2						
lsat102	3	10	B	"Techniques, Roles, and Principles"	Level 3						
lsat102	3	11	B	"Techniques, Roles, and Principles"	Level 1						
lsat102	3	12	D	Strengthen or Weaken	Level 1						
lsat102	3	13	A	Assumptions	Level 2						
lsat102	3	14	C	Flaws	Level 1						
lsat102	3	15	B	Assumptions	Level 3						
lsat102	3	16	C	Conclusions and Disputes	Level 2						
lsat102	3	17	C	Conclusions and Disputes	Level 2						
lsat102	3	18	E	Assumptions	Level 4						
lsat102	3	19	E	Deductions and Inference	Level 1						
lsat102	3	20	B	Matching Structure and Principles	Level 3						
lsat102	3	21	A	Strengthen or Weaken	Level 3						
lsat102	3	22	D	Matching Flaws	Level 4						
lsat102	3	23	E	Flaws	Level 3						
lsat102	3	24	A	Deductions and Inference	Level 2						
lsat102	4	1	A	Conclusions and Disputes	Level 1						
lsat102	4	2	B	Deductions and Inference	Level 1						
lsat102	4	3	E	Strengthen or Weaken	Level 1						
lsat102	4	4	B	Flaws	Level 1						
lsat102	4	5	A	"Techniques, Roles, and Principles"	Level 1						
lsat102	4	6	D	Strengthen or Weaken	Level 1						
lsat102	4	7	A	Assumptions	Level 2						
lsat102	4	8	A	Flaws	Level 2						
lsat102	4	9	B	Assumptions	Level 2						
lsat102	4	10	B	Strengthen or Weaken	Level 2						
lsat102	4	11	D	Strengthen or Weaken	Level 3						
lsat102	4	12	D	Matching Flaws	Level 2						
lsat102	4	13	B	Explain or Resolve	Level 3						
lsat102	4	14	D	"Techniques, Roles, and Principles"	Level 2						
lsat102	4	15	E	Deductions and Inference	Level 3						
lsat102	4	16	D	Deductions and Inference	Level 4						
lsat102	4	17	B	Flaws	Level 3						
lsat102	4	18	D	Assumptions	Level 2						
lsat102	4	19	A	"Techniques, Roles, and Principles"	Level 2						
lsat102	4	20	C	Matching Structure and Principles	Level 2						
lsat102	4	21	C	"Techniques, Roles, and Principles"	Level 2						
lsat102	4	22	C	Conclusions and Disputes	Level 2						
lsat102	4	23	B	Flaws	Level 3						
lsat102	4	24	D	Strengthen or Weaken	Level 3						
lsat102	4	25	E	Assumptions	Level 3						
lsat102	4	26	E	Deductions and Inference	Level 3						
